ACO_Num,ACO_Name,ACO_Service_Area,ACO_Agreement_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Track_1,Track_1+,Track_2,Track_3,Adv_Pay,AIM,SNF_3-Day_Rule_Waiver,ACO_Address,ACO_Public_Reporting_Website,ACO_Exec_Name,ACO_Exec_Email,ACO_Exec_Phone,ACO_Public_Name,ACO_Public_Email,ACO_Public_Phone,ACO_Zip
A48272,AVANT MSO LLC,SC,Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,0,0,"2500 Elms Center Road, PO Box 118008, North Charleston, South Carolina, 29406",http://avantmso.org/aco-public-details,Terry Cunningham,tcunningham@palmettoprimarycare.com,(843) 820-3360,Vivian M Walton,vivianb@palmettoprimarycare.com,(843) 820-3350,"29406(32.928106, -80.033498)"
A79194,"Aledade West Virginia ACO, LLC","KY, WV",Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,1,0,"7315 Wisconsin Ave, Suite 1000E, Bethseda, Maryland, 20814",www.aledade.com/wv/,Ahmed Haque,ahmed@aledade.com,(202) 644-8817,Ahmed Haque,ahmed@aledade.com,(202) 644-8817,"20814(39.003061, -77.102949)"
A96978,AmpliPHY of Texas ACO LLC,TX,Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,1,0,"3969 Sulphur Springs Branch Road, Columbia, Tennessee, 38401",www.ampliphyoftexas2782.com,Randy Cook,rcook@ampliphyps.com,(615) 500-1959,Randy Cook,rcook@ampliphyps.com,(615) 500-1959,"38401(35.626133, -87.024384)"
A03738,"Health Alliance ACO, LLC","DC, MD, VA",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"130 SE Tramonto Street, Port St. Lucie, Florida, 34984",www.gwhospital.com,David Klebonis,dklebonis@PBACO.org,(352) 258-1188,William Borden,quality@mfa.gwu.edu,(312) 497-9494,"34984(27.256367, -80.339104)"
A72235,Bayview Physicians Group,"NC, VA",Currently Participating,2,01/01/2014,01/01/2017,0,1,0,0,0,0,0,"3241 Western Branch Boulevard, Chesapeake, Virginia, 23321",www.bayviewphysicians.com/aco,James Hartz,hartz@msaphy.com,(757) 686-3508,Heather Milteer,milteer@msaphy.com,(757) 686-3508,"23321(36.818186, -76.416537)"
A80158,Kennebec Region Health Alliance,ME,Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"10 Water Street, Waterville, Maine, 04330",https://www.krhamaine.com/medicare-aco,Barbara Crowley,barbara.crowley@mainegeneral.org,(207) 626-1097,Laura Mrazik,laura.mrazik@mainegeneral.org,(207) 624-4205,"04330(44.355538, -69.749067)"
A14381,CPSI ACO 8 LLC,"AR, LA, MO, TX",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"7509 NW Tiffany Springs Parkway, Ste. 310, Kansas City, Missouri, 64153",https://caravanhealth.com/public-reporting-cpsi-aco-8-llc/,Robert Humphrey,bob.humphrey@evident.com,(916) 542-4582,Kristine Miller,kmiller@caravanhealth.com,(916) 542-4568,"64153(39.279203, -94.709199)"
A92936,Privia Quality Network of Georgia,GA,Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"602 Dogwood Trail, Suite F, Tyrone, Georgia, 30290",priviahealth.com,James Sams,jsams@priviahealth.com,(770) 550-5838,James Sams,jsams@priviahealth.com,(770) 550-5838,"30290(33.476562, -84.58766)"
A17898,"Health Connect Partners, LLC","AK, CA, WA",Currently Participating,2,01/01/2014,01/01/2017,1,0,0,0,0,0,0,"800 5th Ave, Suite 1200, Seattle, Washington, 98104",http://www2.providence.org/phs/Pages/MedicareACO.aspx,Deepak Sadagopan,Deepak.Sadagopan@providence.org,(425) 525-4707,Smitha Dante,Smitha.dante@providence.org,(805) 705-4451,"98104(47.602601, -122.328611)"
A24150,"Acorn Network, LLC","IL, IN, MI",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"30 W Monroe, Suite 1200, Chicago, Illinois, 60603",http://www.acorn.network/,Griffin Myers,griffin.myers@acorn.network,(312) 733-3374,Austin Sherwindt,austin.sherwindt@acorn.network,(312) 733-3374,"60603(41.880112, -87.625473)"
A70782,"MUSC Health Alliance, LLC",SC,Currently Participating,1,01/01/2017,01/01/2017,0,0,0,1,0,0,1,"96 Jonathan Lucas Street, Suite 601-J, CSB MSC 617, Charleston, South Carolina, 29425",muschealthalliance.org/public,David Louder,louder@musc.edu,(843) 876-2811,Heather Woolwine,woolwinh@musc.edu,(843) 792-7669,"29425(32.784205, -79.948149)"
A53334,"Physicians Healthcare Collaborative, LLC",NC,Currently Participating,2,01/01/2013,01/01/2016,1,0,0,0,0,0,0,"1202 Medical Center Drive , Wilmington, North Carolina, 28401",www.physicianshealthcarecollaborative.com,Kelly Schaudt,kschaudt@wilmingtonhealth.com,(910) 815-3669,Kelly  Schaudt,kschaudt@wilmingtonhealth.com,(910) 815-3669,"28401(34.238647, -77.942208)"
A38977,Great Plains Care Organization,"IA, NE",Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,1,0,"9450 SW Gemini Dr, #88865, Beaverton, Oregon, 97008-7105",http://www.caravanhealth.com/public-reporting-great-plains-care-organization,Teri Bergeleen,teri.bergeleen@avera.org,(916) 542-4582,Colton Lange,Colton.Lange@avera.org,(916) 542-4582,"97008(45.460518, -122.806409)"
A65557,"CHSPSC ACO 14, LLC","TN, WV",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"4000 Meridian Blvd., Franklin, Tennessee, 37067",chs.net,Mark Barnhart,mark_barnhart@chs.net,(615) 925-4319,Gary  Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"37067(35.92436, -86.797297)"
A20488,UM ACO,"DE, MD, PA",Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,0,0,"161 Becks Woods Drive, Bear, Delaware, 19701",http://www.umusa.net/public-reporting/index.html,Kemal Erkan,ke@umusa.net,(302) 451-5600,Kemal Erkan,ke@umusa.net,(302) 451-5600,"19701(39.597379, -75.694272)"
A75055,Indiana Rural ACO,"IN, KY",Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,1,0,"9450 SW Gemini Dr, #88865, Beaverton, Oregon, 97008-7105",http://www.caravanhealth.com/public-reporting-indiana-rural-aco ,Greg Paris,gparis@caravanhealth.com,(916) 542-4582,Kristine Miller,kmiller@caravanhealth.com,(916) 542-4582,"97008(45.460518, -122.806409)"
A12439,"HSHS ACO, L.L.C.",IL,Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,0,0,"4936 LaVerna Road, PO Box 19456, Springfield, Illinois, 62794",http://www.hshsaco.org ,Ken M Johnson,ken.johnson@hshs.org,(217) 492-9157,Brian Reardon,brian.reardon@hshs.org,(217) 492-5823,"62794(39.79936, -89.643624)"
A34443,Central Florida Physicians Trust,FL,Currently Participating,2,01/01/2013,01/01/2016,0,1,0,0,1,0,1,"483 N. Semoran Blvd, Suite 204, Winter Park, Florida, 32792",http://www.cflphysicianstrust.org/index.php?id=aco,Vikram  Saini,vsaini@floridaaco.com,(407) 960-5587,Vikram Saini,info@floridaaco.com,(407) 960-5587,"32792(28.609681, -81.300742)"
A28160,ACMG,"FL, GA, PA, SC",Currently Participating,2,01/01/2014,01/01/2017,1,0,0,0,0,0,0,"6355 NW 36 Street , Suite 604, Virginia Gardens, FL, Florida, 33166",www.acmgroupfl.com/public-reporting,Chris Pertierra,CPertierra@ACMGroupFL.com,(786) 427-1037,Susan P Fernandez,SFernandez@ACMGroupFL.com,(786) 427-1037,"33166(25.824412, -80.307036)"
A60591,"Healthy Communities ACO, LLC","NJ, NY, PA",Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"255 Lafayette Ave., Suffern, New York, 10901",http://www.charity.bonsecours.com/about-us-healthy-communities-aco-public-reporting.html,Corey Deixler,corey_deixler@bshsi.org,(203) 988-6339,Helene Guss,Helene_Guss@bshsi.org,(845) 368-5570,"10901(41.126514, -74.114529)"
A87823,"Beacon Health Partners, LLP",NY,Currently Participating,2,07/01/2012,01/01/2016,1,0,0,0,0,0,0,"100 Quentin Roosevelt Blvd., Suite 300, Garden City, New York, 11530",https://www.beaconhealthpartners.com/public-reporting/,Jonathan Goldstein,jonathan@beaconhealthpartners.com,(516) 570-3580,Jonathan Goldstein,jonathan@beaconhealthpartners.com,(516) 570-3580,"11530(40.727145, -73.638954)"
A77059,Beth Israel Deaconess Care Organization,"MA, NH",Currently Participating,1,01/01/2017,01/01/2017,0,0,0,1,0,0,1,"247 Station Drive, Suite NW 1, Westwood, Massachusetts, 02090",http://www.bidpo.org/INfoForPatients/TransparencyReporting2-14.html,Jeffrey Hulburt,jhulburt@bidmc.harvard.edu,(617) 754-1008,Eryn Gallagher,elgallag@bidmc.harvard.edu,(617) 754-1080,"02090(42.218192, -71.207299)"
A90925,"Central Minnesota ACO, LLC",MN,Currently Participating,1,01/01/2016,01/01/2016,0,1,0,0,0,0,0,"1406 6th Avenue North, St. Cloud, Minnesota, 56303",http://www.centralmnhealthnetwork.com/cmhn/central-minnesota-aco/public-reporting/,Kathy Parsons,parsons@centracare.com,(320) 656-7060,Amanda Rudnicki,RudnickiAm@centracare.com,(320) 251-2700 x53426,"56303(45.572549, -94.205365)"
A81280,VOP Accountable Care LLC,TX,Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"222 E Van Buren Ave., Ste 201-E, Harlingen, Texas, 78550",https://www.vopaco.com/,Sarah Wolf,Sarah.Wolf@gulfquest.net,(956) 364-3301,Sarah Wolf,Sarah.Wolf@gulfquest.net,(956) 364-3301,"78550(26.217845, -97.68399)"
A61535,Primary Comprehensive Care ACO LLC,"IL, NC",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"4941 N Kedzie Ave, Chicago, Illinois, 60625",www.pccaco.com,NASER RUSTOM,DOCRUSTOM@YAHOO.COM,(773) 919-9097,TANIA KHAMOO,TKHAMOO@AMSORG.COM,(773) 368-1209,"60625(41.971155, -87.701816)"
A42909,"Piedmont Community Health Collaborative, LLC",NC,Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"114 N Center St, Statesville, North Carolina, 28677",pchcaco.com,Tyler Wilson,tyler.wilson@piedmonthealthcare.com,(720) 660-1849,Tyler Wilson,tyler.wilson@piedmonthealthcare.com,(720) 660-1849,"28677(35.752372, -80.912704)"
A17748,Southern Michigan Rural ACO,"MI, WI",Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,1,0,"9450 SW Gemini Dr, #88865, Beaverton, Oregon, 97008-7105",http://www.caravanhealth.com/public-reporting-southern-michigan-rural-aco ,John Barnas,John.Barnas@hc.msu.edu,(916) 542-4582,Kristine Miller,kmiller@caravanhealth.com,(916) 542-4582,"97008(45.460518, -122.806409)"
A29854,HP2,GA,Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"465 EE Butler Parkway, Gainesville, Georgia, 30501",,Steven McNeilly,steven.mcneilly@nghs.com,(770) 219-6601,Wanda Katich,wanda.katich@nghs.com,(770) 219-9779,"30501(34.310921, -83.819498)"
A14543,MHN ACO,"IA, IL, NE, SD",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"207 Crocker Street, Suite 200, Des Moines, Iowa, 50309",http://www.mercydesmoines.org/Accountable-Care/Client-List/MHN-ACO/Public-Report,David Swieskowski,DSwieskowski@mercydesmoines.org,(515) 643-7460,Derek Novak,DNovak@mercydesmoines.org,(515) 643-7448,"50309(41.58627, -93.620364)"
A47392,Valley Connected Care,NC,Renewal,2,01/01/2015,01/01/2018,1,0,0,0,0,0,0,"1638 Owen Drive, Fayetteville, North Carolina, 28304",www.cfvaco.com,Joseph  B Fiser,jfiser@capefearvalley.com,(910) 615-5572,Vincent Benbenek,vbenbenek@capefearvalley.com,(910) 615-6098,"28304(35.02722, -78.979926)"
A74112,Orange Accountable Care Organization LLC,"FL, MD, NJ, NM, PA, TX",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"14750 NW 77th Ct, Suite 308, Miami Lakes, Florida, 33016",https://orangecaregroup.com/locations/new-jersey/,Lissette Exposito,lissette.exposito@orangecaregroup.com,(305) 492-4338,Lissette Exposito,lexposito@orangecaregroup.com,(786) 610-4001,"33016(25.893487, -80.331755)"
A98674,"McFarland Clinic, PC",IA,Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"1215 Duff Avenue, Ames, Iowa, 50010",https://www.mcfarlandclinic.com/,Jeb Lee,jolee@mcfarlandclinic.com,(515) 663-8663,Shelley Goecke,sgoecke@mcfarlandclinic.com,(515) 239-4403,"50010(42.031676, -93.602943)"
A31531,"UCMCNACO, LLC","IL, IN",Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"5841 South Maryland Avenue, MC 1033, Chicago, Illinois, 60637",http://www.uchospitals.edu/about/aco/index.html,George Weyer,gweyer@medicine.bsd.uchicago.edu,(773) 834-7987,Lorna Wong,lorna.wong@uchospitals.edu,(773) 702-0188,"60637(41.780991, -87.604053)"
A03202,"Augusta Care Partners, LLC",VA,Currently Participating,2,01/01/2014,01/01/2017,1,0,0,0,0,0,0,"78 Medical Center Drive, Fishersville, Virginia, 22939",www.augustacarepartners.com/about-us/,Daniel OConnor,doconnor@augustahealth.com,(540) 932-4818,Lisa Schwenk,lisa.schwenk@augustacarepartners.com,(540) 245-7570,"22939(38.096101, -78.975247)"
A02551,"Genesis Healthcare ACO, LLC","AL, CT, FL, KY, MA, MD, NH, NJ, PA, WV",Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,0,0,"101 East State Street, Kennett Square, Pennsylvania, 19348",http://www.genesishcc.com/aco,Jason Feuerman,jason.feuerman@genesishcc.com,(610) 925-4347,Jeanne Moore,jeanne.moore@genesishcc.com,(484) 949-5648,"19348(39.861177, -75.70775)"
A02094,"Health Choice Care, LLC","FL, MO, NC, RI",Currently Participating,2,01/01/2014,01/01/2017,1,0,0,0,0,0,0,"9064 NW 13 Terrace, Miami, Florida, 33172",https://www.healthchoicecare.com/public%20reporting%20and%20performance.htm,Margarita Ollet,mollet@hcnetwork.org,(305) 599-1015 x18031,Margarita Ollet,mollet@hcnetwork.org,(305) 599-1015 x18031,"33172(25.787198, -80.362269)"
A47151,"Sandhills Accountable Care Alliance, LLC",NC,Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,0,0,"3035-N Boone Trail Center, Fayetteville, North Carolina, 28304",http://www.sandhillsphysicians.com/aco-public-reporting/,Rueben N Rivers,president@sandhillsphysicians.com,(910) 323-2503,Cheryl Mead,cheryl@sandhillsphysicians.com,(910) 920-2507 x221,"28304(35.02722, -78.979926)"
A28428,Texas Panhandle Clinical Partners ACO LLC,"NM, TX",Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"367 S. Gulph Road, King of Prussia, Pennsylvania, 19406",tpcpaco.com,Kamal  Jemmoua,Kamal.Jemmoua@uhsinc.com,(610) 992-4579,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"19406(40.093249, -75.38198)"
A93261,"Rural Solutions, LLC","AL, MS, VA",Renewal,2,01/01/2015,01/01/2018,1,0,0,0,0,0,0,"1314 19th Avenue, Meridian, Mississippi, 39301",http://ruralsolutionshealth.com/public_reporting/,Morgan Dunn,mdunn@vestrallc.com,(601) 382-6315,Julie Grantham,julie.grantham@rushhealth.com,(601) 703-9644,"39301(32.313297, -88.624084)"
A50496,"Redwood Community Care Organization, LLC",CA,Currently Participating,2,01/01/2014,01/01/2017,1,0,0,0,0,0,0,"1310 Redwood Way, Suite 135, Petaluma, California, 94954",https://www.rchc.net/rcco-aco/,Mary  Szecsey,mszecsey@wchealth.org,(707) 869-5977 x3310,Claire Cain,ccain@rchc.net,(707) 285-2962,"94954(38.245316, -122.59871)"
A03945,"CHSPSC ACO 12, LLC","GA, NC, SC, VA",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"4000 Meridian Blvd., Franklin, Tennessee, 37067",chs.net,Mark Barnhart,mark_barnhart@chs.net,(615) 925-4319,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"37067(35.92436, -86.797297)"
A79400,"UOP ACO, LLC",MI,Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"18800 Hubbard Drive, Suite 200, Dearborn, Michigan, 48126",http://uopaco.com/public-reporting-2/,Demetrio Timban,dtimban@uopdocs.com,(313) 240-9867 x36,Nada Almadhagi,nada@uopdocs.com,(313) 240-9867 x19,"48126(42.330423, -83.187309)"
A39069,"Select Physicians Associates, LLC","AL, FL",Initial,1,01/01/2018,01/01/2018,0,1,0,0,0,0,0,"601 S. Harbour Island Blvd, Ste 213A, Tampa, Florida, 33602",www.spaaco.com/public-reporting.html,J. Daniel Kollefrath,dan@phypartners.com,(352) 622-7000,Sriram Sundaramoorthy,ram@phypartners.com,(352) 433-4477,"33602(27.954983, -82.457142)"
A25380,"Accountable Care Alliance of Ventura, LLC",CA,Currently Participating,2,01/01/2014,01/01/2017,0,1,0,0,0,0,1,"147 North Brent Street, Ventura, California, 93003",http://www.cmhshealth.org/aco/index.shtml,Wilfred Garand,wgarand@cmhshealth.org,(805) 652-5009,Wilfred Garand,wgarand@cmhshealth.org,(805) 652-5009,"93003(34.271122, -119.222286)"
A44298,Adventist Health System ACO,FL,Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"101 Southhall Ln Suite 150, Maitland, Florida, 32751",www.AHSACO.com,Jayne Bassler,jayne.bassler@ahss.org,(407) 357-2557,Jennifer Roberts,jennifer.n.roberts@ahss.org,(407) 357-1375,"32751(28.631503, -81.363441)"
A21015,CPSI ACO 2 LLC,"CA, CO, GU, ID, ND, OR, SD, WA",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"7509 NW Tiffany Springs Parkway, Ste. 310, Kansas City, Missouri, 64153",https://caravanhealth.com/public-reporting-cpsi-aco-2-llc/,Robert Humphrey,bob.humphrey@evident.com,(916) 542-4582,Kristine Miller,kmiller@caravanhealth.com,(916) 542-4568,"64153(39.279203, -94.709199)"
A11174,Caravan Health ACO 34 LLC,OK,Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"7509 NW Tiffany Springs Parkway, Kansas City, Missouri, 64153",www.caravanhealth.com/public-reporting-caravan-health-aco-34-llc,Karen Hendren,karen.hendren@vizientinc.com,(916) 542-4582,Kristine Miller,kmiller@caravanhealth.com,(916) 542-4568,"64153(39.279203, -94.709199)"
A36039,Loudoun Medical Group ACO LLC,"VA, WV",Currently Participating,2,01/01/2014,01/01/2017,1,0,0,0,0,0,0,"224D Cornwall St NW, Ste 403, Leesburg, Virginia, 20176",http://www.lmgdoctors.com/patient-info/loudoun-medical-group-accountable-care-organization/,Mary Beth Tamasy,mtamasy@lmgdoctors.com,(703) 737-6006,Clara Nussbaum,cnussbaum@lmgdoctors.com,(703) 737-6001 x6003,"20176(39.145674, -77.530604)"
A16709,"Alabama Physician Network, LLC",AL,Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"John Whitaker Building, 500 22nd St South, Suite 504, Birmingham, Alabama, 35233",www.alabamaphysiciannetwork.com,Don Lilly,dlilly@uabmc.edu,(205) 934-7175,Don Lilly,dlilly@uabmc.edu,(205) 934-7175,"35233(33.508699, -86.801364)"
A17829,"Physician Performance Network of Arizona, LLC",AZ,Initial,1,01/01/2018,01/01/2018,0,1,0,0,0,0,0,"1445 Ross Avenue, Suite 1400, Dallas, Texas, 75202",http://ppntucson.com/mssp-aco/,Caitlin Oconnor,Caitlin.Oconnor@tenethealth.com,(708) 304-3268,Joseph Egan,joseph.egan@tenethealth.com,(248) 941-6758,"75202(32.779989, -96.803609)"
A80995,"Renown Accountable Care, LLC",NV,Currently Participating,2,01/01/2014,01/01/2017,1,0,0,0,0,0,0,"1155 Mill Street, N14, Reno, Nevada, 89502",https://www.renown.org/publicreporting,Dawn Ahner,dahner@renown.org,(775) 982-4404,Stacy Kendall,skendall@renown.org,(775) 982-4651,"89502(39.498115, -119.76878)"
A78741,MHN Partners ACO,IA,Currently Participating,1,01/01/2017,01/01/2017,0,1,0,0,0,0,0,"207 Crocker Street, Suite 200, Des Moines, Iowa, 50309",http://www.mercydesmoines.org/mercyaco/mercy-aco-public-report,David Swieskowski,dswieskowski@mercydesmoines.org,(515) 643-7460,Derek Novak,dnovak@mercydesmoines.org,(515) 643-7448,"50309(41.58627, -93.620364)"
A24538,"Federation ACO, LLC",MI,Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"950 Trade Centre Way, Suite 200, Portage, Michigan, 49002",http://www.affirmant.com/aco,William Mayer,bill.mayer@affirmant.com,(269) 552-5824,Katy Velten,katy.velten@affirmant.com,(269) 552-4245,"49002(42.204409, -85.563955)"
A54859,Keystone ACO,PA,Currently Participating,2,01/01/2013,01/01/2016,0,1,0,0,0,0,1,"601 Park Street, Office of the CEO, Honesdale, Pennsylvania, 18431",http://www.keystoneaco.org/public-reporting.html,Anthony E Reed,areed@geisinger.edu,(570) 214-3012,Melody Danko-Holsomback,mldankoholsomback@geisinger.edu,(570) 214-4995,"18431(41.607847, -75.250901)"
A82661,"Meritage ACO, LLC",CA,Currently Participating,2,01/01/2013,01/01/2016,1,0,0,0,0,0,0,"4 Hamilton Lndg, Ste 100, Novato, California, 94949",http://meritagemed.com/meritage-accountable-care-organization-aco/,Mark Wexman,mwexman@meritagemed.com,(415) 884-1885,Marcy Norenius,mnorenius@meritagemed.com,(415) 884-1825,"94949(38.06215, -122.53789)"
A74976,"North Central Arizona Accountable Care, LLC",AZ,Renewal,2,01/01/2015,01/01/2018,0,1,0,0,0,0,0,"P.O. Box 11090, Prescott, Arizona, 86304-1090",www.ncazaco.org/public-reporting-information,Ami Giardina,agiardina@ncazaco.org,(928) 772-3200,Ami Giardina,agiardina@ncazaco.org,(928) 772-3200,"86304(34.548009, -112.477644)"
A29195,Heathcare Partners of the North Country,NY,Renewal,2,01/01/2015,01/01/2018,1,0,0,0,0,0,0,"120 Washington St. Suite 230 , Watertown, New York, 13601",http://northcountryinitiative.org/accountable-care-organization/public-reporting/,Brian Marcolini,bmarcolini@northcountryinitiative.org,(315) 755-2020 x31,Erin Shustack,eshustack@northcountryinitiative.org,(315) 755-2020 x32,"13601(43.977155, -75.916148)"
A53129,"Huntington Care Network ACO, LLC",CA,Currently Participating,2,01/01/2014,01/01/2017,1,0,0,0,0,0,0,"100 W California Blvd., Pasadena, California, 91105",http://huntingtoncarenetwork.com/about-us/aco-public-reporting-requirements.php,Gabriella Sherman,gabriella.sherman@huntingtonhospital.com,(626) 397-5183,Eileen Neuwirth,eileen.neuwirth@huntingtonhospital.com,(626) 397-3241,"91105(34.138699, -118.166094)"
A10885,Care is Primary ACO LLC,"NJ, PA",Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"210 Yorktown Plaza, Elkins Park, Pennsylvania, 19027",https://www.r-health.md/careisprimaryaco/#public-reporting,Nancy M Meisinger,nancy@r-health.md,(215) 600-4593,Amber van Niekerk,amber@r-health.md,(215) 600-4590,"19027(40.072713, -75.125183)"
