ACO_Num,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Initial_Track_1,Initial_Track_2,Initial_Track_3,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Adv_Pay,AIM,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,Met_QPS,QualScore,Prior_Sav_Adj,RegTrndUpdt,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,acute_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO8,ACO35,ACO36,ACO37,ACO38,ACO44,ACO43,ACO11,ACO12,ACO13,ACO14,ACO15,ACO16,ACO17,ACO18,ACO19,ACO20,ACO42,ACO40,DM_Comp,ACO27,ACO41,ACO28,ACO30
A73981,"Physician Health Partners, LLC",Colorado,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,25345,0.055664761,0.024465482,13051217,13051217,,5419299,1,0.8474,,1,1,9443,9157,234461027,221409810,,,0.5,0.4237,67840,9048,12496,7793,71628,10549,13522,8200,64236,9985,12859,8150,63678,10412,12039,8534,8918,0.933,1.005,0.974,0.989,0.946,0.988,0.982,0.998,0.938,1.027,0.906,0.964,0.974,0.963,0.94,0.986,135,1483,350,23703,24828,112,1219,304,23193,2055,13070,7117,3103,14292,11053,23377,565,214,224,32,933,2556,2332,33,197,18,115,420,0,1514,3683,61,409,233,221,208,1,10,2,10,3,8,123,811,38,510,139,709,312,8808,3952,3943,901,12,0,0,0,0,0,235,109,43,93,1,79.44,92.18,91.43,83.01,60.46,78.42,74.72,26.34,14.4,17.34,38.21,49.98,41.87,72.73,1.08,100,67.53,56.39,76.21,77.03,62.39,97.73,35.86,61.54,54.96,67.65,18.18,27.18,14.21,30.73,78.47,76.47
A90742,"Kansas Primary Care Alliance, LLC","Kansas, Missouri",Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,7133,0.007761708,0.033733734,487728,0,,0,1,0.9693,,1,1,8979,8709,62837768,62350040,,,0.5,0.4847,104007,9046,14656,7307,76837,9677,12898,7800,79869,11026,11077,8216,82838,10181,10693,8496,8909,1.061,0.999,0.87,0.899,1.079,1.033,0.977,0.907,1.024,0.993,0.936,0.901,1.035,1.006,0.747,0.907,26,617,114,6060,6998,23,572,96,6307,814,3814,1862,643,4594,2539,6383,511,27,19,7,186,2493,2109,34,320,42,87,392,0,2268,2867,59,385,254,270,245,1,18,5,9,5,14,144,797,42,557,169,701,262,8776,3411,4110,1240,14,0,0,0,0,0,55,4,31,12,0,85.69,95.67,95.14,82.65,72.82,78.97,75.48,36.91,14.8,17.75,52.58,73.28,59.36,100,2,100,99.55,95.06,80.08,93.44,93.42,96.4,80.8,65.73,84.68,87.64,0,57.99,7.43,61.34,62.5,90
A03202,"Augusta Care Partners, LLC",Virginia,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,8576,0.00879805,0.031423423,674187,0,,0,1,0.9055,,1,0,9160,8826,76629115,75954928,,,0.5,0.4527,63929,8500,14474,8068,76333,9263,14950,7960,74744,8555,13157,8068,85297,8676,15404,8442,9079,1.015,0.963,0.933,0.941,1.016,0.995,1.009,0.929,0.995,1.006,1.013,0.931,1.027,0.928,0.966,0.943,42,1168,287,6621,8366,40,1167,290,6869,1444,3956,2339,837,5223,3353,7996,395,12,10,1,162,2693,2542,24,79,67,243,529,0,2829,2352,143,353,201,259,245,1,5,9,18,7,11,166,807,52,777,183,708,244,9404,3455,4438,1502,8,0,0,0,0,5,102,251,104,65,0,79.23,92.01,90.64,80.86,61.08,73.56,75.66,24.28,15.06,18.59,49.76,74.35,59.35,47.06,1.48,100,25.65,98.3,84.39,85.48,77.57,98.22,70.64,76.56,81.5,86.31,5.26,67.91,13.81,76.12,70.91,98.1
A39529,"SSM ACO, LLC","Missouri, Illinois",Initial,1,01/01/2014 12:00:00 AM,1,0,0,01/01/2014 12:00:00 AM,1,0,0,0,0,22482,-0.017567324,0.024751792,-4142649,0,,0,1,0.8903,,0,,10798,9507,235815580,239958229,,,0.5,0.4452,74863,9909,17700,8078,75794,9387,16923,8371,75604,10047,18209,8350,75929,11436,17465,9574,10988,1.037,1.039,1.128,0.994,1.013,1.009,1.112,1.008,0.989,1.006,1.153,1.006,0.996,1.085,1.173,1.113,203,3131,724,17861,21839,273,3140,880,17546,4086,10397,5595,2404,12744,9738,19233,2667,110,39,12,421,3455,2976,53,370,80,183,598,1,3248,2952,121,454,238,371,339,1,21,9,27,9,17,188,785,61,710,170,818,274,8788,3225,4434,1097,32,0,0,0,0,6,220,373,286,26,0,83.63,94.51,94.35,85.48,62,76.58,74.99,23.49,15.15,19.32,46.08,76.74,60.47,48.91,1.74,100,97.92,82.64,76.68,89.79,80.95,97.46,76.21,64.92,74.7,68.48,0,55.24,10.48,58.06,71.9,82.26
A79168,"Johns Hopkins Medicine Alliance for Patients, LLC","Maryland, District of Columbia",Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,40201,-0.010552788,0.022979833,-5964953,0,,0,1,0.8846,,1,0,14420,13858,565249050,571214003,,,0.5,0.4423,107885,16315,15025,11293,108687,17060,16010,11862,100834,17373,16390,11943,101343,17743,17578,12289,14572,1.013,1.178,0.886,1.003,1.035,1.197,0.882,0.993,1.02,1.188,0.878,1.006,0.997,1.167,0.906,0.999,432,6672,2558,29188,39198,455,6438,2623,29682,7980,18806,9999,3416,23070,17131,26621,10200,1018,418,49,1895,5562,5478,10,51,29,150,572,6,4450,3851,102,420,264,328,323,0,3,3,20,13,16,206,811,48,775,245,1165,416,10345,3864,5282,1192,7,0,0,0,0,6,771,2247,362,363,1,78.72,92.37,90.38,82.02,68.69,73.21,73.72,17.49,15.07,17.84,55.89,86.25,64.73,72.31,1.95,100,93.41,88.12,82.39,82.38,87.69,92.95,77.53,71.33,71.2,88.99,0,54.01,16.72,61.67,66.55,93.25
A02128,"GGC ACO, LLC",Michigan,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,6898,0.023183302,0.034202202,1804277,0,,0,1,0.893,,1,1,11551,11226,77826575,76022298,,,0.5,0.4465,96357,8312,17672,9967,88473,8225,16372,10108,95681,8108,16520,10258,88004,8663,17184,10631,11284,1.015,0.925,1.039,1.108,1.076,0.981,1.019,1.102,1.008,0.997,0.977,1.143,0.984,0.937,1.04,1.153,73,795,147,5906,6737,64,752,139,5782,978,2952,2069,899,3979,2919,5099,1614,27,12,3,143,3655,3428,50,172,16,222,843,0,2038,3921,144,504,264,343,333,2,7,2,26,13,18,161,836,64,611,267,1020,262,9605,4498,4531,563,13,0,0,0,0,0,27,26,2,3,0,79.33,92.1,92.53,82.31,65.76,73.15,71.1,24.36,14.82,17.55,58.39,83.36,63.98,68.42,1.66,100,86.03,88.83,88.12,79.95,78.9,98.11,85.37,80.23,87.75,85.8,2.33,67.74,9.68,72.73,86.77,87.75
A49262,"Broward Guardian, LLC",Florida,Initial,1,01/01/2014 12:00:00 AM,1,0,0,01/01/2014 12:00:00 AM,1,0,0,0,0,7955,0.072353833,0.032088088,8248656,8248656,,3729517,1,0.9227,,0,,14841,14859,114004404,105755748,,,0.5,0.4614,86626,14949,19509,12189,94410,15580,18412,12061,84017,16336,18490,11940,87804,14359,18255,11427,13768,1.025,1.247,1.117,1.155,1.002,1.275,1.11,1.159,1.042,1.238,1.043,1.171,1.013,1.174,1.006,1.115,129,1167,1317,5437,7681,113,938,972,5659,1292,3467,2001,1195,4546,3409,5876,1035,81,520,21,422,4095,3320,179,573,85,520,622,0,3150,4487,130,1060,271,409,363,4,30,12,24,17,20,226,753,46,962,315,926,442,11460,3514,7297,636,12,0,0,0,0,5,125,246,80,62,0,80.55,95.43,93.75,85.39,67.16,76.84,69.23,26.61,15.68,18.35,53.77,80.74,67.11,68.97,1.89,100,89.63,87.97,61.22,61.03,74.52,81.55,98.07,69.95,82.65,80.8,5,44.48,16.82,52.62,70.36,80.46
A36517,"Via Christi Health Alliance in Accountable Care, Inc.",Kansas,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,19034,-0.025074521,0.025386077,-4395936,0,,0,1,0.9388,,1,1,9457,9095,175314852,179710788,,,0.5,0.4694,64470,8401,12933,7128,65090,9448,13517,7821,69314,9716,14767,8198,64113,10184,14866,8793,9695,0.926,0.983,0.993,0.941,0.96,0.98,1.03,0.945,0.943,0.994,1.051,0.936,0.93,1.018,1.007,0.956,141,2510,935,15556,18537,151,2269,858,15260,2896,8237,5291,2610,10939,8095,17275,1062,81,194,69,353,3029,2597,106,274,70,313,671,6,1564,3504,81,390,275,306,282,3,16,6,12,4,11,144,807,62,727,188,896,340,9195,3590,3455,1837,313,2,15,1,0,3,247,291,127,120,3,80.74,91.97,92.07,84.39,58.53,74.09,71.27,34.42,14.26,15.86,52.63,71.02,56.85,63.74,1.3,100,74.16,72.16,83.53,83.13,66.54,94.98,41.94,70.43,73.12,80.4,0,46.8,13.6,50.8,70.42,92.02
A39975,Gulf Coast Health Partners,"Florida, Alabama, Mississippi",Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,26688,-0.001281296,0.024331178,-320098,0,,0,1,0.9325,,1,1,9612,9183,249823800,250143899,,,0.5,0.4663,67344,8452,13676,8229,67182,8841,13679,8520,67725,9268,13775,8540,69597,9441,15462,9019,9624,0.953,0.92,0.963,0.992,0.977,0.925,0.936,0.989,0.976,0.939,0.958,0.975,0.951,0.943,0.911,0.996,166,3370,958,24707,25992,149,2919,848,22076,3853,12557,7504,2774,15131,11557,23505,2342,230,62,28,521,2626,2363,90,150,38,205,547,0,2241,3200,102,624,279,310,293,3,8,6,15,15,19,170,783,53,710,223,770,309,10014,3452,5147,1356,59,0,0,1,0,1,198,211,131,45,0,76.31,92.32,92.99,80.34,62.25,77.72,71.16,29.54,14.99,20.04,46.27,78.28,61.21,68.04,2.26,100,48.62,94.43,75.06,82.15,70.21,83.72,73.39,74.09,68.42,87.87,3.77,57.1,11.73,60.8,72.91,84.29
A23908,"Illinois Health Partners ACO, LLC",Illinois,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,87828,0.006519598,0.02,5511455,0,,0,1,0.8977,,1,1,9842,9559,845367326,839855871,,,0.5,0.4488,85386,9676,16280,8407,84128,9938,16147,8661,85363,10298,15583,8942,82250,10765,16175,9341,9778,1.024,0.9,0.976,0.92,1.012,0.908,0.928,0.916,1.02,0.922,0.931,0.93,0.957,0.904,0.953,0.936,237,4952,1636,72475,85892,254,5356,1675,78608,8316,43736,25214,10562,50633,37195,79286,2993,1348,835,17,3349,2871,2598,29,218,47,119,717,0,1890,3640,90,479,196,276,259,1,11,5,16,11,15,157,844,61,542,188,752,322,9711,3719,4903,1086,3,0,0,0,0,4,584,823,219,222,10,86.07,94.25,93.21,85.28,64.09,76.61,75.81,23.83,14.46,18.93,51.97,85.12,64.12,65.7,1.82,100,93.54,92.88,68.46,81.69,94.66,92.49,88.33,65.23,79.78,83.62,0,62.85,8.79,66.67,73.35,88.93
A72235,Bayview Physicians Group,"Virginia, North Carolina",Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,21344,0.01756404,0.024865596,3361043,0,,0,1,0.8737,,1,1,9211,9161,191359311,187998269,,,0.5,0.4368,64995,8619,13099,7725,67781,9294,13173,8098,70430,10215,13190,8177,67997,9210,13938,8206,9049,0.946,0.946,1.041,0.954,0.932,0.96,1.009,0.957,0.959,0.994,1.019,0.96,1.019,0.983,1.042,0.966,201,2224,594,17288,20775,201,2169,576,17829,3122,10975,5259,1988,12742,8602,15475,4812,314,48,14,681,2377,2295,30,36,30,148,459,0,1895,3470,94,483,253,275,267,1,2,5,19,14,13,164,811,50,732,208,743,267,10048,4001,5006,1036,5,0,0,0,0,0,174,131,29,38,0,82.71,94.24,93.08,82.27,68.84,73.14,73.76,22.75,14.93,17.47,50.21,75.14,58.61,66.23,1.69,100,96.02,97.56,65.58,79.71,67.21,94.97,86.89,81.67,80.78,82.53,0,49.92,10.39,55.28,70.1,91.28
A07620,"Seton Accountable Care Organization, Inc.",Texas,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,19725,0.045241613,0.025109622,8119700,8119700,,3662884,1,0.9206,,1,1,9317,9082,179474144,171354445,,,0.5,0.4603,65002,7960,9815,7457,64422,8381,9610,8056,73599,8492,10615,8051,77962,8667,9912,8195,8896,0.945,0.853,0.731,0.855,0.92,0.845,0.778,0.846,0.916,0.865,0.752,0.854,0.941,0.829,0.725,0.858,155,1878,622,15607,19263,166,1829,633,16634,2726,10759,4660,1580,11391,8334,16627,1248,345,705,15,785,2696,2061,86,513,60,98,280,0,1338,3753,55,650,178,251,214,3,27,7,12,6,13,142,781,23,568,154,844,375,9454,3319,4984,951,199,0,17,0,0,0,401,171,64,28,10,81.78,93.2,93.16,82.19,61.46,72.57,74.59,26.74,14.36,17.6,46.24,66.93,53.24,76.12,1.88,100,83.54,84.67,77.23,89.09,65.82,85.76,67.82,77.32,78.74,90,6.67,64.1,10.72,69.7,80.88,88.19
A06665,JFK Health ACO,New Jersey,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,14474,0.018189091,0.027315063,3033876,0,,0,1,0.9002,,1,1,11842,11777,166796432,163762557,,,0.5,0.4501,94751,10409,12242,10064,89515,10214,12890,10452,99214,10536,12760,10535,92138,10623,11520,10747,11627,0.963,0.968,0.891,1.091,0.995,1,0.905,1.09,1.017,0.955,0.884,1.086,0.986,0.946,0.885,1.046,141,1609,1863,11506,14085,138,1466,1712,10768,1929,6184,4111,2250,8276,6198,10139,1382,1631,284,18,1020,3640,3133,88,413,69,161,1245,0,2065,4231,106,343,183,302,275,2,18,7,14,11,17,177,835,87,593,237,762,333,11856,4700,6725,428,3,0,0,0,0,2,87,185,29,8,0,79.28,93.48,93.53,83.12,62.88,77.68,70.25,25.8,15.32,18.65,55.64,72.43,59.52,85.71,1.67,100,62.01,56.9,72.32,60.13,67.04,51.88,49.72,54.72,65.05,80.23,14.81,31.39,19.71,36.01,77.54,86.36
A68137,"Community Health Accountable Care, LLC","Vermont, New Hampshire, New York",Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,21755,-0.027037715,0.024824494,-6539917,0,,0,1,0.8518,,1,0,11437,11094,241881293,248421210,,,0.5,0.4259,67385,9256,14738,9023,84389,10542,16664,9980,80986,10803,18067,10098,79334,10871,18195,10539,11747,1.006,0.891,0.907,0.933,0.991,0.868,0.908,0.917,1.023,0.881,0.92,0.907,0.962,0.874,0.946,0.914,82,3856,2449,15001,21148,82,3641,2444,14982,4198,9121,5553,2883,11787,9968,20924,57,38,18,21,697,3969,3792,4,72,105,351,1420,0,3837,1625,201,623,177,332,319,0,3,10,16,13,23,161,850,95,906,152,662,204,9168,542,2862,929,4835,8,43,6,0,33,476,828,303,224,16,85.75,93.79,93.5,85.42,64.29,76.73,75.65,24.66,15.23,18.07,67.48,97.57,73.2,66.42,2.45,100,77.73,48.82,61.18,78.16,50.15,98.22,57.09,54.36,60.36,79.42,0,44.15,21.07,50.5,64.58,90.26
A82420,USMD Physician Services,Texas,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,18584,0.059607859,0.025566113,10904241,10904241,,4919021,1,0.9206,,1,1,10027,10022,182932937,172028696,,,0.5,0.4603,68598,9960,16270,8258,81849,12361,17538,8854,79692,11171,13509,9162,75803,9977,15246,8963,9430,0.982,1.055,0.963,0.932,1.001,1.068,0.93,0.937,0.988,1.064,0.888,0.955,1.047,1.049,0.906,0.942,98,826,342,18067,18244,85,734,333,17091,1270,9802,5450,2062,10844,7740,16762,913,256,124,35,494,2859,2103,102,516,22,158,469,151,1286,3805,74,744,196,280,235,4,28,3,11,8,16,143,771,37,577,183,852,329,9971,3766,5084,1117,4,0,0,0,0,0,119,138,32,38,0,76.66,92.99,92.21,85.42,63.1,77.96,74.55,18.95,14.86,19.86,50.1,73.15,57.91,72.41,1.95,100,38.78,82.54,84.58,91.03,86.89,97.72,79.28,73.86,76.32,88.25,8.33,59.34,9.02,64.26,82.06,89.26
A60743,"Ingalls Care Network, LLC","Illinois, Indiana",Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,6267,0.031442803,0.035465465,2266612,0,,0,1,0.8666,,1,1,11830,11640,72086841,69820228,,,0.5,0.4333,92926,8612,17315,9814,85663,10607,19955,10312,103701,10431,16633,10040,90927,10153,17285,10108,11458,1.041,0.927,1.032,1.067,1.025,0.942,1.088,1.065,1.024,0.946,1.03,1.03,1.021,0.931,1.041,1.013,79,833,339,4926,6093,70,762,351,4910,994,2813,1705,755,3903,2364,3878,2181,35,58,2,113,3791,3126,49,586,73,186,770,0,2979,3107,134,618,227,379,341,2,29,8,27,13,19,186,795,57,755,237,953,342,9737,3892,4985,652,209,0,3,0,0,4,46,75,21,9,0,79.17,92.62,91.42,83.75,62.89,75.4,71.3,27.33,14.9,19.01,59.8,98.45,71.38,61.11,2.01,100,4.92,85.71,61.23,49.6,75.2,76.61,62.35,44.35,67.34,82.16,0,38.71,24.6,47.58,77.02,85.48
A17898,"Health Connect Partners, LLC","Washington, California, Alaska",Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,112692,0.02073751,0.02,23824095,23824095,,10747306,1,0.9206,,1,1,10438,10334,1148840651,1125016556,,,0.5,0.4603,82375,9342,12112,9009,82005,9473,12361,9442,77739,9703,11955,9691,80130,9573,11348,9709,10221,0.992,0.94,0.877,0.983,1.003,0.932,0.861,0.982,0.988,0.921,0.818,0.981,0.966,0.883,0.817,0.984,696,8691,5248,89942,110068,694,8578,5304,95492,12132,52750,32934,14876,65282,47410,99005,2371,3960,1172,629,5555,3093,2856,56,163,44,201,711,1,2356,3396,100,485,186,242,230,1,7,3,12,5,11,147,792,46,615,161,728,314,9478,3630,4729,1016,103,2,0,5,0,7,2176,2377,895,651,0,81.82,93.05,92.34,83.47,58.45,77.69,72.29,20.42,13.77,15.74,42.96,65.88,51.02,68.03,1.28,100,28.09,51.29,74.64,81.38,54.34,76.86,71.89,70.92,74.28,77.74,5.33,33.53,12.43,36.99,70.06,85.82
A70064,"Partners In Care ACO, Inc.",New Jersey,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,14221,0.01031565,0.027466893,1663783,0,,0,1,0.9632,,1,1,11615,11434,161287294,159623511,,,0.5,0.4816,101569,10875,15728,9991,84510,11813,15834,10473,83312,11515,14622,10343,88740,11210,15522,10851,11495,1.025,1.017,1.016,1.039,1.059,0.98,0.98,1.023,1.026,0.984,1.018,1.027,0.986,0.926,1.006,1.015,66,1368,941,12345,13887,57,1172,869,11788,1575,6565,4066,2015,8385,5836,12302,719,310,240,10,640,3461,3034,23,354,84,193,1081,0,1758,4636,107,391,176,285,262,1,15,7,14,13,16,157,838,81,562,211,671,363,11565,4310,6549,704,2,0,0,0,0,1,138,142,44,8,0,83.67,93.11,92.61,83.4,67.43,81.43,73.06,27.01,14.52,17.98,52.88,72.76,56.71,61.11,1.73,100,92.02,49.09,80.32,64.71,79.95,89.38,39.76,55.37,64.14,85.4,0,23.24,18.24,27.19,74.01,89.33
A08611,South Bend Clinic Accountable Care,"Indiana, Michigan",Initial,1,01/01/2014 12:00:00 AM,1,0,0,01/01/2014 12:00:00 AM,1,0,0,0,0,7604,0.069587811,0.032790791,4406505,4406505,,1885609,1,0.8733,,0,,8518,7656,63322946,58916441,,,0.5,0.4366,73180,6885,15498,7453,65641,6428,15596,7160,68763,6360,12540,7367,61593,7756,10557,7515,7925,0.994,1.006,0.981,0.935,0.946,0.959,0.993,0.924,0.914,0.916,0.949,0.925,0.972,0.921,0.957,0.941,34,687,162,6341,7434,43,569,189,6632,834,3812,1895,1063,4478,3126,6820,524,28,25,8,199,2096,1949,35,75,37,229,515,0,1344,3335,83,274,157,222,212,1,5,3,9,8,13,126,802,43,492,154,690,264,8584,3608,3495,1470,11,0,0,0,0,0,51,55,28,3,0,82.92,93.61,91.61,82.37,57.7,74.15,74.67,26.56,14.42,17.29,45.56,65.67,50.59,55,1.76,100,13.37,47.98,68.55,82.66,22.36,87.9,47.18,69.35,73.09,83.06,3.23,51.61,14.52,58.87,69.35,93.95
A23786,"Clinical Partners of Colorado Springs, LLC",Colorado,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,791,0.109924906,0.101589178,837460,837460,,325370,1,0.7929,,1,1,9856,7940,7618471,6781011,,,0.5,0.3964,69663,8467,15306,6661,61444,8634,11339,7276,64102,8982,11263,7153,65309,9822,10908,6936,8772,0.992,0.933,0.858,0.832,0.943,0.89,0.84,0.857,0.885,0.881,0.793,0.807,0.852,0.805,0.673,0.928,22,565,139,4244,773,5,265,90,413,290,307,151,43,427,364,619,74,19,51,2,26,3282,2769,0,409,116,82,624,0,1940,2354,106,435,248,305,264,0,23,18,8,16,23,147,712,56,1049,219,750,286,7382,717,2635,727,3303,0,25,0,0,0,121,14,62,58,0,82.61,92.93,92.9,81.32,63.76,80.22,73.29,23.57,14.95,18.39,53.4,79.26,61.04,75,2.18,100,,34.17,60.24,68.22,60.59,90.43,64,54.01,56.91,65.14,0,23.53,25,36.76,73.46,81.4
A38301,Physicians Accountable Care of Utah,Utah,Renewal,2,01/01/2014 12:00:00 AM,1,0,0,01/01/2017 12:00:00 AM,1,0,0,0,0,8379,-0.009404325,0.031620621,-671470,0,,0,1,0.9475,,1,1,8784,8751,71400086,72071555,,,0.5,0.4738,56803,8370,11108,8127,69453,8213,11784,8482,62145,8716,11685,8346,72839,6834,13627,8566,8866,0.916,0.925,0.813,0.889,0.99,0.946,0.885,0.927,0.908,0.914,0.855,0.893,0.888,0.855,0.937,0.921,41,664,109,6563,8129,45,648,131,7304,1005,4492,2165,717,4689,3690,7806,43,117,83,18,312,2454,2123,61,250,51,262,670,0,1688,3130,47,515,251,244,222,2,13,6,10,3,12,133,791,55,534,152,651,280,8174,3501,3596,1073,4,0,0,0,0,0,72,113,29,52,0,81.29,92.47,92.27,84.16,58.34,78.6,73.69,32.66,14.66,16.77,48.73,67.6,56.66,78.26,1.68,100,96.68,77.86,75.75,80.65,78.21,96.85,47.53,72.77,66.86,81.09,0,47.11,15.43,53.99,80.82,84.29
A23727,"Duke Connected Care, LLC",North Carolina,Initial,1,01/01/2014 12:00:00 AM,1,0,0,01/01/2014 12:00:00 AM,1,0,0,0,0,52657,0.039180702,0.021468547,21130325,21130325,,9483194,1,0.9159,,0,,10544,9526,539304406,518174081,,,0.5,0.458,70946,9635,12169,8484,66067,9974,10807,8341,70675,9992,11482,8142,61942,10576,12782,9097,10130,0.995,1.053,0.894,0.963,0.966,1.074,0.93,0.977,0.99,1.063,0.917,0.976,0.969,1.112,0.944,0.992,556,8029,2995,33952,51150,553,8223,3113,39261,10411,25291,12453,4502,30144,22512,36718,13549,556,337,59,1438,2947,2758,51,102,52,184,546,0,3194,2701,119,412,311,304,292,1,5,5,19,9,15,184,807,49,749,211,809,345,9805,3359,4315,1769,363,0,12,1,0,8,649,1792,435,441,4,74.23,92.34,91.47,86.2,62.27,71.48,72.04,27.39,14.73,17.59,54.17,83.81,66.68,60.73,1.96,100,7.12,98.44,82.26,91.83,70.97,94.19,51.36,70.38,75.49,88.73,4.05,42.29,13.04,48.22,65.75,96
