organization,hand_coded_assignee_form
"Infuez, LLC",FIRM
"Ident, Inc.",FIRM
Ringly Inc.,FIRM
"Layers, LLC",FIRM
Tablebox ApS,FIRM
"Petwall, LLC",FIRM
Ceradis B.V.,FIRM
"Zengen, Inc.",FIRM
Myotoku Ltd.,FIRM
Eurosil GmbH,FIRM
"ZYPHONY, LLC",FIRM
"Anzon, Inc. ",FIRM
"Lumeta, Inc.",FIRM
"Synack, Inc.",FIRM
"Helmer, Inc.",FIRM
CATA COMPANY,FIRM
"Woc Co., Ltd",FIRM
Amplifon SpA,FIRM
Dual Systems,FIRM
"OTOwest, LLC",FIRM
"Origin, Inc.",FIRM
"TokenEx, LLC",FIRM
RhoForce LLC,FIRM
Coolture LLC,FIRM
"Lellan, Inc.",FIRM
"Pluris, Inc.",FIRM
CRFS Limited,FIRM
Native Reels,FIRM
JP First LLC,FIRM
Sightix Ltd.,FIRM
Lipogen Ltd.,FIRM
Confide Inc.,FIRM
Attomole Ltd,FIRM
"Omniox, Inc.",FIRM
3DEGREES LLC,FIRM
"Cosmocel, SA",FIRM
Polmannen AB,FIRM
"MyMail, Ltd.",FIRM
Siltech Inc.,FIRM
Logisig Inc.,FIRM
SI-Bone Inc.,FIRM
U-BiSys B.V.,FIRM
Hui-Tsu Chia,FIRM
Toximed GmbH,FIRM
"Moxair, Inc.",FIRM
"I.E.G., S.A.",FIRM
"MILDEF, INC.",FIRM
"Bamcor, Inc.",FIRM
Bertin & Cie,FIRM
"ICForm, Inc.",FIRM
"D-Mark, Inc.",FIRM
Aeronet Inc.,FIRM
NEURODAN A/S,FIRM
"Naimco, Inc.",FIRM
"VeinAid, LLC",FIRM
Cafes Collet,FIRM
"Tubeco, Inc.",FIRM
"TENIAS, S.A.",FIRM
PGN-ONE Inc.,FIRM
Koopera GmbH,FIRM
Biotika A.S.,FIRM
Neaspec GmbH,FIRM
"SAKT13, Inc.",FIRM
"Catlow, Inc.",FIRM
"BioAlta, LLC",FIRM
"Glo-Tip, LLC",FIRM
"QuickHub, LLC",FIRM
"Herdstar, LLC",FIRM
Biosphings AG,FIRM
"Gen Co., Ltd.",FIRM
Sol-Fire Inc.,FIRM
Aichelin GmbH,FIRM
PROIONIC GMBH,FIRM
Spetstekhnika,FIRM
"SORACOM, INC.",FIRM
"M.A.C.GE, LLC",FIRM
"Jeco Co.,Ltd.",FIRM
"JST CO., LTD.",FIRM
"Hitachi, Ltd.",FIRM
D.G.N. S.R.L.,FIRM
"SYNX-RX, LTD.",FIRM
Secubay Corp.,FIRM
"ADAMSWW, Inc.",FIRM
"EXELATE, INC.",FIRM
Taizo Ayukawa,FIRM
APPARATUS LLC,FIRM
ICF MFORM LLC,FIRM
"Z Gaming, LLC",FIRM
Veraz Limited,FIRM
"GO FOIL, INC.",FIRM
ElaraTek LTD.,FIRM
Acumentor LLC,FIRM
"Tel-Pac, Inc.",FIRM
BALANCAIR APS,FIRM
LEDVANCE GMBH,FIRM
AUTO-NIKKINEN,FIRM
"uReveal, Inc.",FIRM
DecaWave Ltd.,FIRM
Neolis S.r.l.,FIRM
"Alpha Q, Inc.",FIRM
"vThreat, Inc.",FIRM
Freelift B.V.,FIRM
Commer S.p.A.,FIRM
AIDEA COMPANY,FIRM
"Trivver, Inc.",FIRM
"ADI Wind, LLC",FIRM
Picote Oy Ltd,FIRM
Nikomed ApSl ,FIRM
"Albaugh, Inc.",FIRM
LaserRave LLC,FIRM
"Inscript, LLC",FIRM
"Cleanwax, LLC",FIRM
"NPS Co., Ltd.",FIRM
H-D Tech Inc.,FIRM
"Tag One, Inc.",FIRM
Swingtec GmbH,FIRM
"Caringo, Inc.",FIRM
"Mooremac, LLC",FIRM
Tree Play LLC ,FIRM
"Civix-DDI, LLC",FIRM
Lee Industries,FIRM
SURGITENT GMBH,FIRM
"Solounger, LLC",FIRM
Agscitech Inc.,FIRM
"Gas Saver, LLC",FIRM
"Horstman, Inc.",FIRM
Capricorn S.A.,FIRM
E.C.V. Company,FIRM
Thinprint GmbH,FIRM
"Dentis Rx, LLC",FIRM
Elecinic Corp.,FIRM
KAWATATEC CORP,FIRM
MTH Industries,FIRM
S.A. Delta Neu,FIRM
HiveRadar Inc.,FIRM
"Docusafe, Ltd.",FIRM
Flexonics Inc.,FIRM
Newjig Limited,FIRM
AM Denmark A/S,FIRM
Hyung Sek Choi,FIRM
"Lash Wrap, LLC",FIRM
"Medicham, S.A.",FIRM
Levitas S.R.L.,FIRM
Rotech Limited,FIRM
"MINIPUMPS, LLC",FIRM
"U S West, Inc.",FIRM
"Atlantek, Inc.",FIRM
Gaspare Galati,FIRM
"Rotelcom, Inc.",FIRM
"X2Impact, Inc.",FIRM
Metu Meinig AG,FIRM
PB Environment,FIRM
Sonne Regen AG,FIRM
"Bioplate, Inc.",FIRM
Mobrey Limited,FIRM
"S.S.C.I., Inc.",FIRM
PDY Systems LP,FIRM
Chilla Limited,FIRM
Quickparts.com,FIRM
"MicoOptix, LLC",FIRM
"MobiApps, Inc.",FIRM
"Infonorm, Inc.",FIRM
"TREV Labs, LLC",FIRM
M.T.M. PTY LTD,FIRM
"Sea-Safe, Inc.",FIRM
"Monterey, Inc.",FIRM
Herrmans Oy AB,FIRM
NUTRISEAL L.P.,FIRM
Varel Mfg. Co.,FIRM
Fujitsu Limitd,FIRM
ORIBEL PTE LTD,FIRM
Olmway Pty Ltd,FIRM
WSC THREE S.A.,FIRM
Starcounter AB,FIRM
"DRYSHIELD, LLC",FIRM
"Penetron, Inc.",FIRM
JenAct Limited,FIRM
"Bearings, Inc.",FIRM
IMMUNWORK INC.,FIRM
"Gyt Pants, LLC",FIRM
KEYper Systems,FIRM
"Pipe Wrap, LLC",FIRM
"Work4Labs, Inc.",FIRM
Columbus E. APS,FIRM
ERGODRIVEN INC.,FIRM
"TrueRelief, LLC",FIRM
Del Corporation,FIRM
"Hirai Co., Ltd.",FIRM
"Verdezyne, Inc.",FIRM
IPF Corporation,FIRM
"Surf Chip, Inc.",FIRM
"Bioptigen, Inc.",FIRM
"LUNK LABS, INC.",FIRM
Sol Vision Inc.,FIRM
"DREAMTEC., INC.",FIRM
Pynford Limited,FIRM
"True Union, LLC",FIRM
"Sunclipse, Inc.",FIRM
Yuriko Nakamura,FIRM
BBK Corporation,FIRM
"Image Pops, LLC",FIRM
Sargent & Lundy,FIRM
"Compuline, Inc.",FIRM
"Echo Bravo, LLC",FIRM
"G-Intek Co.,LTD",FIRM
iSee VC Pty Ltd,FIRM
KOPTER GROUP AG,FIRM
Osiris Quintana,FIRM
"Pharmacia, Inc.",FIRM
"Microcosm, Inc.",FIRM
Syngene Limited,FIRM
"Theravant, Inc.",FIRM
"EnterCalo, Inc.",FIRM
"JAAG Plush, LLC",FIRM
JSCRAMBLER S.A.,FIRM
GS Metals Corp.,FIRM
Elemelt Limited,FIRM
"Iconoscope, LLC",FIRM
"Overton's, Inc.",FIRM
Eat Little Inc.,FIRM
"Dual Lite, Inc.",FIRM
"Koco Clamp, LLP",FIRM
Bassetti S.p.A.,FIRM
Johns Mansville,FIRM
Histogenex N.V.,FIRM
Sotralents S.A.,FIRM
"Mediatech, Inc.",FIRM
Osteopharm Inc.,FIRM
GNR Resound A/S,FIRM
APF Corporation,FIRM
Takeshi Okamoto,FIRM
Giuliano S.p.A.,FIRM
"Flavorseal, LLC",FIRM
Chao-Chin Chang,FIRM
"Open Mesh, Inc.",FIRM
"LanzaTech, Inc.",FIRM
"Thervance, Inc.",FIRM
RESCUE DOSE LTD,FIRM
"PIXOLOGIC, INC.",FIRM
"Longitude, Inc.",FIRM
"Icix Pty., Ltd.",FIRM
"SplitFire, Inc.",FIRM
"Brand-Gaus, LLC",FIRM
"Electro K, Inc.",FIRM
"Magna Card, Inc",FIRM
Kone Corporation,FIRM
"W. A. Lane, Inc.",FIRM
"Beltronics, Inc.",FIRM
VIA Technologies,FIRM
"Orange Sky, Ltd.",FIRM
BASF Coatings AC,FIRM
D-Box Audio Inc.,FIRM
Mathbirk Limited,FIRM
Gunderson Clinic,FIRM
Y.G. NooBaa Ltd.,FIRM
Guilbert Express,FIRM
White-McKee Inc.,FIRM
Euro 3 Plast Srl,FIRM
Aeroflex Limited,FIRM
Bodytone Limited,FIRM
Allum-Jenkins AS,FIRM
"Edgewise, L.L.C.",FIRM
Audiofly Pty Ltd,FIRM
Vistas Unlimited,FIRM
"Lubin-Jones, LLC",FIRM
AMP Incorporated,FIRM
HOLITION LIMITED,FIRM
"ZENGGE CO., LTD.",FIRM
"H2 Catalyst, LLC",FIRM
UNIFLOTTE S.r.l.,FIRM
Obermaier & Cie.,FIRM
Baker Cable Ltd.,FIRM
GCOE Corporation,FIRM
"Toobee Co., Ltd.",FIRM
"Door Helper, LLC",FIRM
Hanita Coatings ,FIRM
K+K Ofenbau GmbH,FIRM
"C&D ZODIAC, INC.",FIRM
Kellwood Company,FIRM
M.O.COM. S.r.L. ,FIRM
Sparkmotion Inc.,FIRM
NORDIC BUILD A/S,FIRM
Brand Castle LLC,FIRM
"Embo-Optics, LLC",FIRM
"440 Pammel, Inc.",FIRM
"STELLARRAY, INC.",FIRM
"RIFIT WORLD, LLC",FIRM
Nexus Technology,FIRM
"Dead Ringer, LLC",FIRM
"Enviroplan, Inc.",FIRM
Autopour Pty Ltd,FIRM
NorCal Wild Rice,FIRM
"LSIL & CO., INC.",FIRM
Alumni Data Inc.,FIRM
honey cloudz LLC,FIRM
EBIS Corporation,FIRM
"Voicecraft, Inc.",FIRM
Airwave Pte Ltd.,FIRM
Adcraft Mfg. Co.,FIRM
T. S. I. Medical,FIRM
"MAKE-CUP, L.L.C.",FIRM
Amati Bambu Ltd.,FIRM
Yorkvest Limited,FIRM
E.S.L.I. Limited,FIRM
Natkin & Company,FIRM
Kama Corporation,FIRM
"Inova Labs, Inc.",FIRM
GREEN&SEED CORP.,FIRM
"Ocean Gear, Inc.",FIRM
"Biophysica, Inc.",FIRM
"Daddyscrubs, LLC",FIRM
Activerf Limited,FIRM
Ligos Corporation,FIRM
"MRSI Systems, LLC",FIRM
Land Tool Company,FIRM
Barravore Limited,FIRM
"Jelmax Co., Ltd. ",FIRM
Ceres Corporation,FIRM
Firma August Beck,FIRM
"Gator Cases, Inc.",FIRM
"Q2 Marketing, LLC",FIRM
"KOTRASS CO., LTD.",FIRM
Mariah Power Inc.,FIRM
Preh KeyTech GmbH,FIRM
Nokia Corporation,FIRM
Rosby Corporation,FIRM
Barzano & Zanardo,FIRM
"T Z Medical, Inc.",FIRM
Grow'n Up Limited,FIRM
"QA Products, Inc.",FIRM
Microvisk Limited,FIRM
Quimica Oxal C.A.,FIRM
"IPOZ Systems, LLC",FIRM
"Boston Ideas, LLC",FIRM
Danske Statsbaner,FIRM
Renault Vehicules,FIRM
Rhodes Technology,FIRM
"Grant Group, Inc.",FIRM
Torch Corporation,FIRM
Melodytek Limited,FIRM
B. B. D. S. R. L.,FIRM
Gebruder Ott A.G.,FIRM
"Menu Monocle, LLC",FIRM
Office Impact LLC,FIRM
"Meeker R &D, Inc.",FIRM
Mercury Printing ,FIRM
"Msyslab Co., Ltd.",FIRM
Promore Pharma AB,FIRM
"Coonan Arms, Inc.",FIRM
"Future Foam, Inc.",FIRM
"PGS America, Inc.",FIRM
"A&D Concepts, LLC",FIRM
Tim Donut Limited,FIRM
"FTS Systems, Inc.",FIRM
"Ofidium Pty, Ltd.",FIRM
MDT v/Morten Dahl,FIRM
Anna Teresa Deuar,FIRM
"J.L. Fisher, Inc.",FIRM
Feltscope Limited,FIRM
Lewis Corporation,FIRM
"Winterborne, Inc.",FIRM
Mine Jeffrey Inc.,FIRM
"Polymeright, Inc.",FIRM
"R&G Products, LLC",FIRM
"Asamasu Co., Ltd.",FIRM
Pothos Plant B.V.,FIRM
X Out Corporation,FIRM
"SANavigator, Inc.",FIRM
"JS Products, Inc.",FIRM
Plein Enterprises,FIRM
Maksutekniikka Oy,FIRM
Handicart Limited,FIRM
"Lamb Weston, Inc.",FIRM
C. & E. Fein GmbH,FIRM
MAGIC LINE S.p.A.,FIRM
"Flapperless, Inc.",FIRM
"Digital F/X, Inc.",FIRM
"BM Software, Inc.",FIRM
BLUELINE MFG. CO.,FIRM
"Dowd & Dowd, P.C.",FIRM
"Thyssen Norte, SA",FIRM
SMOKEWATCHERS SAS,FIRM
Hydroconic Limited,FIRM
"UHP Materials, Inc",FIRM
Wacker Corporation,FIRM
"TRENDMED CO., LTD.",FIRM
Kuriron Kasei Ltd.,FIRM
SHOW A CORPORATION,FIRM
"C&M Conveyor, Inc.",FIRM
"Silicon Wave, Inc.",FIRM
Storviders Limited,FIRM
Abante Corporation,FIRM
"Lers Surgical, LLC",FIRM
F.LLI MARIS S.p.A.,FIRM
Jake Searches Inc.,FIRM
"AI VISUALIZE, INC.",FIRM
Wynfor Corporation,FIRM
Great River Energy,FIRM
"SENSEAGE CO., LTD.",FIRM
"SHC Direct, L.L.C.",FIRM
DEZIMA PHARMA B.V.,FIRM
Zinc Software Ltd.,FIRM
Unican Electronics,FIRM
"Kashiv Pharma, LLC",FIRM
Astria Energi Inc.,FIRM
"PACT, Incorporated",FIRM
"Teco Iberica, S.A.",FIRM
Rinnai Corporation,FIRM
Premise Group LLC ,FIRM
Memsor Corporation,FIRM
"Choice Media, Inc.",FIRM
Vallen Corporation,FIRM
"HUMAN BIOMED, INC.",FIRM
"Jet Plastics, Inc.",FIRM
Handpiece Club LLC,FIRM
Midway Cap Company,FIRM
Silicon Image/BSTZ,FIRM
Micro Therapeutics,FIRM
PREMARK PEG L.L.C.,FIRM
"Rubicon Spine, LLC",FIRM
SKANSKA SVERIGE AB,FIRM
"CBI Offshore, Inc.",FIRM
doppler group GmbH,FIRM
"Hyrbrinetics, Inc.",FIRM
"Century 2000, Ltd.",FIRM
eSight Corporation,FIRM
Ermico Enterprises,FIRM
"Gilead Apollo, LLC",FIRM
MachineTalker Inc.,FIRM
"Sweda Company, LLC",FIRM
Skill in Games LLC,FIRM
"G. P. Reeves, Inc.",FIRM
"Kaul-Tronics, Inc.",FIRM
"Oxy-Catalyst, Inc.",FIRM
Kosmix Corporation,FIRM
Oosaki Corporation,FIRM
Josef Willmes GmbH,FIRM
"Aerial Sphere, LLC",FIRM
"NANOTHETA CO, LTD.",FIRM
"Web Products, Inc.",FIRM
Komort Corporation,FIRM
ELITE TO BE S.R.L.,FIRM
Aavid Laboratories,FIRM
"Micorbio Co., Ltd.",FIRM
Belton Corporation,FIRM
RWL Millennium LLC,FIRM
"STATE GARDEN, INC.",FIRM
"Cerylid Pty., Ltd.",FIRM
Gutbrod-Werke GmbH,FIRM
Difco Laboratories,FIRM
"Bells Bridal, Ltd.",FIRM
Chevron Japan Ltd.,FIRM
Friedrich Wolff AG,FIRM
"Hammer Tight, Inc.",FIRM
PETROMAC IP LIMITED,FIRM
Phoenix BioPower AB,FIRM
O+R Inktchemie N.V.,FIRM
Cashido Corporation,FIRM
La Prealpina S.r.l.,FIRM
Glaval Corporation ,FIRM
Conifer Corporation,FIRM
Gilha International,FIRM
Heimann Sensor GmbH,FIRM
SP Reifenwerke GmbH,FIRM
Bru-Mel Corporation,FIRM
Angeron Corporation,FIRM
"Electric Pump, Inc.",FIRM
Polymerpallet Corp.,FIRM
Endgate Corporation,FIRM
TriDev Research LLC,FIRM
"Cima Nanotech, Inc.",FIRM
"Herbal Science, LLC",FIRM
"Ulead Systems, Inc.",FIRM
"Viewitech Co., Ltd.",FIRM
CAREMED SUPPLY INC.,FIRM
K.S. Terminals Inc.,FIRM
"il Sensortech, Inc.",FIRM
The Gadgeteers Inc.,FIRM
Tadamitsu Kishimoto,FIRM
"The AltalGroup, Inc",FIRM
Wangco Incorporated,FIRM
"Vita Genomics, Inc.",FIRM
XMPie (Israel) Ltd.,FIRM
Emmanel Corporation,FIRM
"SOLAR MULTIPLE, LLC",FIRM
Sherwood Sevices AG,FIRM
Langley Corporation,FIRM
CeraMem Corporation,FIRM
Epistar Corporation,FIRM
ROAMBEE CORPORATION,FIRM
Moncana Corporation,FIRM
2749394 Canada Inc.,FIRM
"Rose Displays, Ltd.",FIRM
Hukuba Dental Corp.,FIRM
James Jones Company,FIRM
Bucksy Incorporated,FIRM
Cochlea Corporation,FIRM
"AB Volvo, Torslanda",FIRM
"Foam Supplies, Inc.",FIRM
"Schoeneweis, L.L.C.",FIRM
RMG Electronic GmbH,FIRM
LIND EQUIPMENT LTD.,FIRM
"Pecom Energia, S.A.",FIRM
Matix Semiconductor,FIRM
Zorro Protea Farms ,FIRM
Arnetra Beheer B.V.,FIRM
Fifth Wheel Cap LLC,FIRM
BESPACK CORPORATION,FIRM
SME Elettronica SPA,FIRM
"SpineOvations, Inc.",FIRM
Oshkosh Corporation,FIRM
Beverly Watts Ramas,FIRM
Rover Group Limited,FIRM
MEDIAN TECHNOLOGIES,FIRM
Dr. Tung's Products,FIRM
"Yoshida Group, Inc.",FIRM
"Koike Aronson, Inc.",FIRM
HEALTHUP SP. Z.O.O.,FIRM
Mail-Ex Corporation,FIRM
"Royal Thoughts, LLC",FIRM
Tessa Durakis Green,FIRM
"Troika Design, Inc.",FIRM
Illumina France SARL,FIRM
"Miller Vaneers, Inc.",FIRM
Otincon Corporation ,FIRM
ATI Agritronics Inc.,FIRM
"Marino Systems, Inc.",FIRM
"Sentek, Incorporated",FIRM
B. C. Gearworks Ltd.,FIRM
Octagon Process Inc.,FIRM
"Top Line Brands, LLC",FIRM
"ARCHIVEL FARMA, S.L.",FIRM
Reliance Media Works,FIRM
"Red Owl Stores, Inc.",FIRM
Aardvark Corporation,FIRM
"West Pole Toys, Inc.",FIRM
Emsland-Staerke GmbH,FIRM
Aloe Scientific Labs,FIRM
United Silicone Inc.,FIRM
"TES Technology, Inc.",FIRM
"This Technology, LLC",FIRM
"AMF Technology, Inc.",FIRM
"Actran Systems, Inc.",FIRM
Shimadzo Corporation,FIRM
"JJA Engineering, LLC",FIRM
"Trex Company, L.L.C.",FIRM
Sram France s.a.r.l.,FIRM
P. J. Salcone's Inc.,FIRM
"Palmer Hamilton, LLC",FIRM
Offshore & Marine AS,FIRM
"Retica Systems, Inc.",FIRM
Custom Focus Limited,FIRM
US Tower Corporation,FIRM
Wireway/Husky Corp. ,FIRM
"Cargil, Incorporated",FIRM
TQTVD Software Ltda.,FIRM
"C.E. Smith Co., Inc.",FIRM
"Pogue Seed Co., Inc.",FIRM
A/S af 18. juni 1990,FIRM
David & Baader - DBK,FIRM
"Infinite Earth, Inc.",FIRM
Megadata Corporation,FIRM
"GREENLEE TOOLS, INC.",FIRM
Aksjeselskapet Jotul,FIRM
Acuimage Corporation,FIRM
"Izumi Jiko Co., Ltd.",FIRM
Scab Giardino S.p.A.,FIRM
CLEAN INNOVATION LLC,FIRM
The Akro Corporation,FIRM
"Full Tilt Ahead, LLC",FIRM
"Shaw & Slavsky, Inc.",FIRM
Speedfam Corporation,FIRM
Alpha Thames Limited,FIRM
"SpectraScience, Inc.",FIRM
Dynamic Contours LLC,FIRM
"RBX Industries, Inc.",FIRM
Prayton Technologies,FIRM
"Ramco Products, Inc.",FIRM
"Action Systems, Inc.",FIRM
"Eagle Gas Lift, LLC.",FIRM
Straight Signals LLC,FIRM
Mag Clip Corporation,FIRM
"Turf Ecosystems, LLC",FIRM
Ultrox International,FIRM
"Country Casual, Inc.",FIRM
"JB III & Things, LLC",FIRM
"Cohera Medical, Inc.",FIRM
Victor Hasselblad AB,FIRM
GM of Canada Limited,FIRM
Gecko Rubber Limited,FIRM
"GTB Innovations, LLC",FIRM
Subacoustech Limited,FIRM
"FRESHCEUTICALS, INC.",FIRM
Life-Long Locks Inc.,FIRM
"Johnson & Quin, Inc.",FIRM
"Bartholomew, Limited",FIRM
Z-SYSTEMS SCHWEIZ AG,FIRM
"Oracle America, Inc.",FIRM
Heinrich Gillet GmbH,FIRM
LED Corporation N.V.,FIRM
"D. C. Research, Inc.",FIRM
"Marketcore.com, Inc.",FIRM
Reinz-Dichtungs GmbH,FIRM
CHT R. Beitlich GmbH,FIRM
"IMC Fertilizer, Inc.",FIRM
Nevada Naturals Inc.,FIRM
SPECTRIS CANADA INC.,FIRM
"Bevles Company, Inc.",FIRM
ARLANXEO Brasil S.A.,FIRM
Outback (UK) Limited,FIRM
Lead Billion Limited,FIRM
IYM Technologies LLC,FIRM
Angelica Corporation,FIRM
"T. O. Plastics, Inc.",FIRM
1943596 ALBERTA LTD.,FIRM
Incyte San Diego Inc.,FIRM
AVT Technologies Ltd.,FIRM
Koyo Bearings USA LLC,FIRM
"FMS Technologies, LLC",FIRM
AOS Thermal Compounds,FIRM
"Mary L. Gaines, Corp.",FIRM
POSEIDON MEDICAL INC.,FIRM
Florigene Europe B.V.,FIRM
"Market Hardware, Inc.",FIRM
Advance Thermal Corp.,FIRM
Blue Skies Global LLC,FIRM
"Freedom Machine, Inc.",FIRM
PictureIQ Corporation,FIRM
Utksystem Corporation,FIRM
Twelvefold Media Inc.,FIRM
"Smith & Dyonics, Inc.",FIRM
Cinetic Sorting Corp.,FIRM
"Anansi Networks, Inc.",FIRM
Infra-Vision Ltd. Zug,FIRM
"Rx Technologies, Inc.",FIRM
Torus Media Labs Inc.,FIRM
Kelvin Lenses Limited,FIRM
"Odyssey Medical, Inc.",FIRM
Zenith Producrs Corp.,FIRM
